,advplayers_used,advavg_age,advpossession,advgames,advgames_starts,advminutes,advminutes_90s,advgoals,advassists,advgoals_assists,advgoals_pens,advpens_made,advpens_att,advcards_yellow,advcards_red,advxg,advnpxg,advxg_assist,advnpxg_xg_assist,advprogressive_carries,advprogressive_passes,advgoals_per90,advassists_per90,advgoals_assists_per90,advgoals_pens_per90,advgoals_assists_pens_per90,advxg_per90,advxg_assist_per90,advxg_xg_assist_per90,advnpxg_per90,advnpxg_xg_assist_per90
contre Augsburg,28,27.3,56.0,24,264,"2,160",24.0,34,24,58,31,3,3,40,3,32.0,29.6,23.6,53.2,423,990,1.42,1.00,2.42,1.29,2.29,1.33,0.98,2.31,1.23,2.22
contre Bayern Munich,26,26.9,31.6,24,264,"2,160",24.0,20,15,35,19,1,2,45,1,16.3,14.8,11.1,25.8,183,452,0.83,0.62,1.46,0.79,1.42,0.68,0.46,1.14,0.62,1.08
contre Bochum,26,27.1,55.5,24,264,"2,160",24.0,48,34,82,45,3,5,36,2,47.4,43.2,35.6,78.8,425,1058,2.00,1.42,3.42,1.87,3.29,1.98,1.48,3.46,1.80,3.28
contre Dortmund,28,27.4,39.5,24,264,"2,160",24.0,37,28,65,34,3,3,48,4,29.7,27.4,20.8,48.1,315,726,1.54,1.17,2.71,1.42,2.58,1.24,0.87,2.10,1.14,2.01
contre Eint Frankfurt,26,27.4,51.0,24,264,"2,160",24.0,35,22,57,34,1,3,38,1,37.7,35.4,27.7,63.0,416,968,1.46,0.92,2.37,1.42,2.33,1.57,1.15,2.72,1.47,2.63
contre Freiburg,26,27.3,52.7,24,264,"2,160",24.0,36,26,62,34,2,4,39,0,29.5,26.4,19.9,46.3,358,877,1.50,1.08,2.58,1.42,2.50,1.23,0.83,2.06,1.10,1.93
contre Gladbach,25,27.3,49.2,24,264,"2,160",24.0,33,17,50,27,6,7,37,1,43.7,38.0,30.9,69.0,411,1041,1.37,0.71,2.08,1.13,1.83,1.82,1.29,3.11,1.59,2.87
contre Heidenheim,26,27.3,56.7,24,264,"2,160",24.0,50,38,88,45,5,5,64,2,40.5,36.7,30.9,67.6,463,1111,2.08,1.58,3.67,1.87,3.46,1.69,1.29,2.98,1.53,2.82
contre Hoffenheim,34,27.3,50.7,24,264,"2,160",24.0,44,33,77,41,3,5,37,2,41.5,37.6,29.7,67.4,363,973,1.83,1.37,3.21,1.71,3.08,1.73,1.24,2.97,1.57,2.81
contre Holstein Kiel,27,27.2,57.1,24,264,"2,160",24.0,57,38,95,53,4,5,58,1,43.3,39.5,31.7,71.2,412,1135,2.37,1.58,3.96,2.21,3.79,1.81,1.32,3.13,1.65,2.97
contre Leverkusen,23,26.9,41.6,24,264,"2,160",24.0,26,15,41,23,3,3,51,1,24.0,21.7,14.7,36.3,292,714,1.08,0.62,1.71,0.96,1.58,1.00,0.61,1.61,0.90,1.51
contre Mainz 05,24,27.1,50.6,24,264,"2,160",24.0,25,13,38,22,3,4,57,6,32.1,29.4,18.7,48.0,300,814,1.04,0.54,1.58,0.92,1.46,1.34,0.78,2.12,1.22,2.00
contre RB Leipzig,28,27.3,47.1,24,264,"2,160",24.0,33,23,56,31,2,3,58,0,36.4,34.0,25.6,59.6,364,875,1.37,0.96,2.33,1.29,2.25,1.52,1.07,2.58,1.42,2.49
contre St. Pauli,27,27.3,55.8,24,264,"2,160",24.0,28,20,48,28,0,3,54,1,31.0,28.6,22.7,51.3,339,957,1.17,0.83,2.00,1.17,2.00,1.29,0.94,2.24,1.19,2.14
contre Stuttgart,27,27.3,43.0,24,264,"2,160",24.0,37,24,61,35,2,3,77,4,34.2,31.9,25.4,57.3,297,711,1.54,1.00,2.54,1.46,2.46,1.43,1.06,2.48,1.33,2.39
contre Union Berlin,27,27.3,57.4,24,264,"2,160",24.0,35,25,60,33,2,4,38,2,33.5,30.3,23.9,54.2,400,970,1.46,1.04,2.50,1.37,2.42,1.39,1.00,2.39,1.26,2.26
contre Werder Bremen,23,27.1,49.2,24,264,"2,160",24.0,46,33,79,44,2,2,50,4,35.4,33.8,26.9,60.7,393,928,1.92,1.37,3.29,1.83,3.21,1.48,1.12,2.60,1.41,2.53
contre Wolfsburg,25,27.4,56.0,24,264,"2,160",24.0,37,30,67,36,1,2,54,2,37.4,35.7,29.9,65.7,375,991,1.54,1.25,2.79,1.50,2.75,1.56,1.25,2.81,1.49,2.74
