,advplayers_used,advavg_age,advpossession,advgames,advgames_starts,advminutes,advminutes_90s,advgoals,advassists,advgoals_assists,advgoals_pens,advpens_made,advpens_att,advcards_yellow,advcards_red,advxg,advnpxg,advxg_assist,advnpxg_xg_assist,advprogressive_carries,advprogressive_passes,advgoals_per90,advassists_per90,advgoals_assists_per90,advgoals_pens_per90,advgoals_assists_pens_per90,advxg_per90,advxg_assist_per90,advxg_xg_assist_per90,advnpxg_per90,advnpxg_xg_assist_per90
contre Arsenal,24,26.8,44.1,27,297,"2,430",27.0,23,17,40,21,2,2,65,1,22.9,21.3,16.1,37.4,461,696,0.85,0.63,1.48,0.78,1.41,0.85,0.60,1.44,0.79,1.38
contre Aston Villa,28,27.0,48.2,28,308,"2,520",28.0,45,32,77,44,1,2,76,2,39.3,37.7,28.6,66.3,483,923,1.61,1.14,2.75,1.57,2.71,1.40,1.02,2.42,1.35,2.37
contre Bournemouth,28,27.0,53.1,27,297,"2,430",27.0,32,24,56,29,3,3,70,2,36.4,34.1,27.4,61.4,496,948,1.19,0.89,2.07,1.07,1.96,1.35,1.01,2.36,1.26,2.28
contre Brentford,27,27.2,52.0,27,297,"2,430",27.0,41,31,72,40,1,1,56,2,42.3,41.5,32.2,73.7,620,1172,1.52,1.15,2.67,1.48,2.63,1.57,1.19,2.76,1.54,2.73
contre Brighton,30,26.7,47.8,27,297,"2,430",27.0,37,23,60,31,6,6,68,3,38.4,33.7,29.3,63.0,418,879,1.37,0.85,2.22,1.15,2.00,1.42,1.08,2.51,1.25,2.33
contre Chelsea,29,27.1,41.8,27,297,"2,430",27.0,36,26,62,31,5,6,72,2,38.7,33.9,28.5,62.4,422,813,1.33,0.96,2.30,1.15,2.11,1.43,1.06,2.49,1.26,2.31
contre Crystal Palace,27,26.8,56.5,27,297,"2,430",27.0,31,24,55,30,1,2,54,2,33.9,32.3,26.6,58.9,487,1105,1.15,0.89,2.04,1.11,2.00,1.26,0.99,2.24,1.20,2.18
contre Everton,25,26.8,59.5,27,297,"2,430",27.0,34,26,60,34,0,2,32,2,34.0,32.4,25.8,58.2,502,1157,1.26,0.96,2.22,1.26,2.22,1.26,0.95,2.22,1.20,2.15
contre Fulham,26,27.2,47.3,27,297,"2,430",27.0,34,28,62,33,1,1,55,3,30.6,29.8,23.2,53.0,419,964,1.26,1.04,2.30,1.22,2.26,1.13,0.86,1.99,1.10,1.96
contre Ipswich Town,32,27.0,59.2,27,297,"2,430",27.0,56,36,92,51,5,5,44,2,52.7,48.7,38.4,87.1,574,1162,2.07,1.33,3.41,1.89,3.22,1.95,1.42,3.37,1.81,3.23
contre Leicester City,28,27.0,54.3,27,297,"2,430",27.0,58,44,102,57,1,1,45,2,50.8,50.1,39.0,89.0,509,1294,2.15,1.63,3.78,2.11,3.74,1.88,1.44,3.33,1.85,3.30
contre Liverpool,24,26.8,43.4,28,308,"2,520",28.0,26,21,47,26,0,1,68,1,24.8,23.8,18.9,42.7,498,865,0.93,0.75,1.68,0.93,1.68,0.88,0.67,1.56,0.85,1.53
contre Manchester City,27,26.9,39.6,27,297,"2,430",27.0,36,29,65,33,3,3,58,1,36.6,34.3,29.4,63.6,420,661,1.33,1.07,2.41,1.22,2.30,1.36,1.09,2.44,1.27,2.36
contre Manchester Utd,27,27.1,46.4,27,297,"2,430",27.0,38,25,63,35,3,4,54,1,41.6,38.6,29.2,67.8,479,847,1.41,0.93,2.33,1.30,2.22,1.54,1.08,2.62,1.43,2.51
contre Newcastle Utd,24,27.0,49.6,27,297,"2,430",27.0,37,34,71,37,0,0,73,1,34.7,34.7,28.2,62.9,498,984,1.37,1.26,2.63,1.37,2.63,1.28,1.05,2.33,1.28,2.33
contre Nott'ham Forest,23,27.0,59.9,27,297,"2,430",27.0,33,25,58,31,2,2,73,2,32.7,31.1,23.1,54.2,710,1433,1.22,0.93,2.15,1.15,2.07,1.21,0.86,2.07,1.15,2.01
contre Southampton,34,26.5,49.1,27,297,"2,430",27.0,65,46,111,61,4,4,44,1,63.3,60.4,47.7,108.1,555,1069,2.41,1.70,4.11,2.26,3.96,2.35,1.77,4.11,2.24,4.00
contre Tottenham,31,26.9,42.9,27,297,"2,430",27.0,37,26,63,35,2,2,64,3,45.3,43.7,33.6,77.3,467,893,1.37,0.96,2.33,1.30,2.26,1.68,1.24,2.92,1.62,2.86
contre West Ham,27,26.8,53.1,27,297,"2,430",27.0,44,34,78,41,3,3,40,1,44.8,42.5,36.2,78.7,618,1215,1.63,1.26,2.89,1.52,2.78,1.66,1.34,3.00,1.57,2.92
contre Wolves,28,27.0,52.6,27,297,"2,430",27.0,53,38,91,47,6,7,67,3,43.7,38.1,31.4,69.5,573,1122,1.96,1.41,3.37,1.74,3.15,1.62,1.16,2.78,1.41,2.57
