,advplayers_used,advavg_age,advpossession,advgames,advgames_starts,advminutes,advminutes_90s,advgoals,advassists,advgoals_assists,advgoals_pens,advpens_made,advpens_att,advcards_yellow,advcards_red,advxg,advnpxg,advxg_assist,advnpxg_xg_assist,advprogressive_carries,advprogressive_passes,advgoals_per90,advassists_per90,advgoals_assists_per90,advgoals_pens_per90,advgoals_assists_pens_per90,advxg_per90,advxg_assist_per90,advxg_xg_assist_per90,advnpxg_per90,advnpxg_xg_assist_per90
contre Alavés,28,27.7,54.0,26,286,"2,340",26.0,39,24,63,29,10,10,76,4,31.3,23.5,20.1,43.7,358,863,1.50,0.92,2.42,1.12,2.04,1.20,0.77,1.98,0.90,1.68
contre Athletic Club,30,27.4,50.9,26,286,"2,340",26.0,22,9,31,20,2,3,62,3,24.5,22.2,14.7,36.8,322,831,0.85,0.35,1.19,0.77,1.12,0.94,0.56,1.51,0.85,1.42
contre Atlético Madrid,24,27.5,48.4,26,286,"2,340",26.0,14,10,24,11,3,3,44,0,23.9,21.5,17.8,39.4,418,1123,0.54,0.38,0.92,0.42,0.81,0.92,0.69,1.60,0.83,1.51
contre Barcelona,27,27.4,33.1,26,286,"2,340",26.0,25,18,43,22,3,3,67,1,28.5,26.1,21.2,47.3,285,554,0.96,0.69,1.65,0.85,1.54,1.10,0.81,1.91,1.00,1.82
contre Betis,35,27.7,48.8,26,286,"2,340",26.0,32,20,52,28,4,4,71,6,33.4,30.3,24.1,54.4,402,979,1.23,0.77,2.00,1.08,1.85,1.28,0.93,2.21,1.16,2.09
contre Celta Vigo,30,27.3,46.6,26,286,"2,340",26.0,38,31,69,37,1,2,63,5,28.5,26.7,22.1,48.8,398,851,1.46,1.19,2.65,1.42,2.62,1.10,0.85,1.94,1.03,1.88
contre Espanyol,26,27.5,61.0,25,275,"2,340",26.0,36,28,64,34,2,3,44,1,39.4,37.0,29.4,66.4,546,1185,1.38,1.08,2.46,1.31,2.38,1.51,1.13,2.65,1.42,2.55
contre Getafe,30,27.7,57.3,26,286,"2,340",26.0,21,12,33,17,4,5,75,3,31.4,27.6,21.4,49.0,328,865,0.81,0.46,1.27,0.65,1.12,1.21,0.82,2.03,1.06,1.89
contre Girona,29,27.6,43.1,26,286,"2,340",26.0,39,29,68,37,2,5,57,3,34.3,30.3,25.2,55.5,386,771,1.50,1.12,2.62,1.42,2.54,1.32,0.97,2.29,1.17,2.13
contre Las Palmas,30,27.4,49.3,26,286,"2,340",26.0,42,33,75,38,4,8,62,6,47.8,41.9,33.9,75.8,514,1082,1.62,1.27,2.88,1.46,2.73,1.84,1.30,3.14,1.61,2.91
contre Leganés,25,27.5,57.6,26,286,"2,340",26.0,36,22,58,31,5,6,51,1,41.6,36.8,28.9,65.8,552,1194,1.38,0.85,2.23,1.19,2.04,1.60,1.11,2.71,1.42,2.53
contre Mallorca,27,27.3,53.8,26,286,"2,340",26.0,32,21,53,29,3,3,54,2,29.9,27.5,21.9,49.5,460,1102,1.23,0.81,2.04,1.12,1.92,1.15,0.84,1.99,1.06,1.90
contre Osasuna,23,27.3,53.5,26,286,"2,340",26.0,36,29,65,33,3,3,57,4,36.4,34.1,29.3,63.3,437,1032,1.38,1.12,2.50,1.27,2.38,1.40,1.13,2.53,1.31,2.44
contre Rayo Vallecano,24,27.1,49.4,26,286,"2,340",26.0,26,22,48,24,2,3,52,3,30.4,28.0,21.8,49.8,420,943,1.00,0.85,1.85,0.92,1.77,1.17,0.84,2.01,1.08,1.92
contre Real Madrid,26,27.5,38.8,26,286,"2,340",26.0,24,18,42,21,3,3,61,3,26.1,24.2,19.7,43.8,449,780,0.92,0.69,1.62,0.81,1.50,1.00,0.76,1.76,0.93,1.69
contre Real Sociedad,29,27.4,45.6,26,286,"2,340",26.0,27,16,43,22,5,6,60,0,29.3,24.6,17.4,42.1,365,752,1.04,0.62,1.65,0.85,1.46,1.13,0.67,1.80,0.95,1.62
contre Sevilla,34,27.6,47.9,26,286,"2,340",26.0,35,23,58,31,4,4,61,3,35.4,32.3,25.6,57.8,346,825,1.35,0.88,2.23,1.19,2.08,1.36,0.98,2.34,1.24,2.22
contre Valencia,32,27.3,53.0,26,286,"2,340",26.0,42,32,74,38,4,6,59,3,38.5,33.8,28.0,61.9,392,990,1.62,1.23,2.85,1.46,2.69,1.48,1.08,2.56,1.30,2.38
contre Valladolid,32,27.5,56.7,26,286,"2,340",26.0,59,43,102,57,2,2,70,3,46.2,44.9,33.8,78.7,504,1185,2.27,1.65,3.92,2.19,3.85,1.78,1.30,3.08,1.73,3.03
contre Villarreal,28,27.5,51.6,25,275,"2,340",26.0,34,21,55,30,4,5,82,5,28.2,24.2,17.9,42.1,434,974,1.31,0.81,2.12,1.15,1.96,1.08,0.69,1.77,0.93,1.62
