,advplayers_used,advavg_age,advpossession,advgames,advgames_starts,advminutes,advminutes_90s,advgoals,advassists,advgoals_assists,advgoals_pens,advpens_made,advpens_att,advcards_yellow,advcards_red,advxg,advnpxg,advxg_assist,advnpxg_xg_assist,advprogressive_carries,advprogressive_passes,advgoals_per90,advassists_per90,advgoals_assists_per90,advgoals_pens_per90,advgoals_assists_pens_per90,advxg_per90,advxg_assist_per90,advxg_xg_assist_per90,advnpxg_per90,advnpxg_xg_assist_per90
contre Angers,25,26.7,58.0,24,264,"2,160",24.0,38,29,67,36,2,3,63,6,38.6,36.3,27.5,63.7,517,1218,1.58,1.21,2.79,1.50,2.71,1.61,1.14,2.75,1.51,2.66
contre Auxerre,28,26.4,58.3,24,264,"2,160",24.0,36,26,62,31,5,6,38,2,41.8,37.1,31.1,68.2,458,1090,1.50,1.08,2.58,1.29,2.37,1.74,1.30,3.04,1.55,2.84
contre Brest,28,26.4,52.3,24,264,"2,160",24.0,39,25,64,34,5,7,51,2,41.1,35.6,27.9,63.5,399,1098,1.62,1.04,2.67,1.42,2.46,1.71,1.16,2.87,1.48,2.64
contre Le Havre,31,26.7,57.6,24,264,"2,160",24.0,49,36,85,45,4,5,50,4,42.7,39.2,31.6,70.9,452,1176,2.04,1.50,3.54,1.87,3.38,1.78,1.32,3.10,1.63,2.95
contre Lens,32,26.7,44.9,24,264,"2,160",24.0,29,16,45,21,8,8,46,0,32.7,26.6,21.0,47.6,363,699,1.21,0.67,1.87,0.87,1.54,1.36,0.87,2.24,1.11,1.98
contre Lille,27,26.1,42.9,24,264,"2,160",24.0,27,17,44,24,3,3,44,7,34.2,31.9,23.5,55.3,375,668,1.13,0.71,1.83,1.00,1.71,1.43,0.98,2.40,1.33,2.31
contre Lyon,27,26.4,44.8,24,264,"2,160",24.0,31,22,53,29,2,2,49,3,35.2,33.6,25.3,59.0,449,836,1.29,0.92,2.21,1.21,2.12,1.47,1.06,2.52,1.40,2.46
contre Marseille,32,26.6,35.9,24,264,"2,160",24.0,28,20,48,26,2,5,41,3,32.7,29.2,21.2,50.4,324,633,1.17,0.83,2.00,1.08,1.92,1.36,0.88,2.25,1.22,2.10
contre Monaco,28,26.4,43.8,24,264,"2,160",24.0,31,22,53,28,3,3,51,2,27.6,25.6,20.5,46.0,398,841,1.29,0.92,2.21,1.17,2.08,1.15,0.85,2.00,1.06,1.92
contre Montpellier,34,26.2,54.3,24,264,"2,160",24.0,56,44,100,51,5,6,51,1,47.3,42.4,33.6,76.1,465,1093,2.33,1.83,4.17,2.12,3.96,1.97,1.40,3.37,1.77,3.17
contre Nantes,29,26.5,59.8,24,264,"2,160",24.0,39,27,66,34,5,5,36,4,40.1,36.3,29.7,66.0,507,1212,1.62,1.13,2.75,1.42,2.54,1.67,1.24,2.91,1.51,2.75
contre Nice,29,26.7,52.9,24,264,"2,160",24.0,27,19,46,25,2,2,51,4,27.4,26.0,20.7,46.6,447,973,1.13,0.79,1.92,1.04,1.83,1.14,0.86,2.00,1.08,1.94
contre Paris S-G,24,26.6,32.0,24,264,"2,160",24.0,23,12,35,20,3,3,47,2,23.2,21.0,16.0,37.0,333,648,0.96,0.50,1.46,0.83,1.33,0.97,0.67,1.63,0.87,1.54
contre Reims,32,26.5,54.2,24,264,"2,160",24.0,38,28,66,35,3,4,39,0,42.3,39.3,31.5,70.7,453,1108,1.58,1.17,2.75,1.46,2.62,1.76,1.31,3.07,1.64,2.95
contre Rennes,35,26.2,49.3,24,264,"2,160",24.0,30,21,51,28,2,4,50,5,30.8,27.8,22.2,49.9,391,803,1.25,0.87,2.12,1.17,2.04,1.28,0.92,2.21,1.16,2.08
contre Saint-Étienne,32,26.7,54.3,24,264,"2,160",24.0,54,24,78,42,12,13,37,1,54.8,44.5,32.0,76.6,498,1099,2.25,1.00,3.25,1.75,2.75,2.28,1.33,3.62,1.86,3.19
contre Strasbourg,28,26.6,50.5,24,264,"2,160",24.0,30,15,45,25,5,6,56,1,40.7,36.1,29.2,65.3,362,969,1.25,0.62,1.87,1.04,1.67,1.69,1.22,2.91,1.51,2.72
contre Toulouse,27,26.6,54.3,24,264,"2,160",24.0,24,17,41,23,1,2,52,3,24.6,23.1,16.3,39.3,417,930,1.00,0.71,1.71,0.96,1.67,1.03,0.68,1.70,0.96,1.64
