,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,last_5,attendance_per_g,top_team_scorers,top_keeper,notes
Liverpool,28,20,7,1,66,26,+40,67,2.39,61.1,24.8,+36.3,+1.30,NVNVV,"60,293",Mohamed Salah-25,Alisson,
Arsenal,27,15,9,3,51,23,+28,54,2.00,42.2,22.9,+19.3,+0.72,VVVDN,"60,275",Kai Havertz-9,David Raya,
Nott'ham Forest,27,14,6,7,44,33,+11,48,1.78,34.3,32.7,+1.6,+0.06,DVDDN,"30,067",Chris Wood-18,Matz Sels,
Manchester City,27,14,5,8,53,37,+16,47,1.74,48.8,36.6,+12.2,+0.45,VDVDV,"52,897",Erling Haaland-20,Ederson,
Chelsea,27,13,7,7,52,36,+16,46,1.70,53.8,38.7,+15.2,+0.56,DVDDV,"39,599",Cole Palmer-14,Robert Sánchez,
Newcastle Utd,27,13,5,9,46,38,+8,44,1.63,44.9,34.7,+10.2,+0.38,VDDVD,"52,189",Alexander Isak-19,Nick Pope,
Bournemouth,27,12,7,8,45,32,+13,43,1.59,49.2,36.4,+12.7,+0.47,VDVDD,"11,213",Justin Kluivert-12,Kepa Arrizabalaga,
Brighton,27,11,10,6,44,39,+5,43,1.59,40.1,38.4,+1.6,+0.06,DDVVV,"32,219","Danny Welbeck,Kaoru Mitoma... -7",Bart Verbruggen,
Fulham,27,11,9,7,40,36,+4,42,1.56,37.9,30.6,+7.4,+0.27,DVVDV,"26,550",Raúl Jiménez-9,Bernd Leno,
Aston Villa,28,11,9,8,40,45,-5,42,1.50,39.9,39.3,+0.6,+0.02,DNNVD,"41,958",Ollie Watkins-12,Emiliano Martínez,
Brentford,27,11,5,11,48,43,+5,38,1.41,43.1,42.3,+0.8,+0.03,VDVVN,"19,187",Bryan Mbeumo-15,Mark Flekken,
Crystal Palace,27,9,9,9,35,33,+2,36,1.33,40.9,33.9,+7.0,+0.26,DVDVV,"25,104",Jean-Philippe Mateta-12,Dean Henderson,
Tottenham,27,10,3,14,53,39,+14,33,1.22,44.8,45.3,-0.4,-0.02,DVVVD,"61,302","James Maddison,Brennan Johnson-9",Guglielmo Vicario,
Manchester Utd,27,9,6,12,33,39,-6,33,1.22,36.4,41.6,-5.2,-0.19,VDDNV,"73,727","Bruno Fernandes,Amad Diallo-6",André Onana,
West Ham,27,9,6,12,32,47,-15,33,1.22,35.1,44.8,-9.7,-0.36,NDDVV,"62,464",Jarrod Bowen-7,Alphonse Areola,
Everton,27,7,11,9,30,34,-4,32,1.19,29.4,34.0,-4.7,-0.17,VNVNN,"38,132","Iliman Ndiaye,Beto-6",Jordan Pickford,
Wolves,27,6,4,17,37,56,-19,22,0.81,30.5,43.7,-13.2,-0.49,DVDVD,"30,557",Matheus Cunha-13,José Sá,
Ipswich Town,27,3,8,16,26,57,-31,17,0.63,25.3,52.7,-27.4,-1.02,DDNDD,"29,774",Liam Delap-10,Arijanet Muric,
Leicester City,27,4,5,18,25,61,-36,17,0.63,24.5,50.8,-26.3,-0.97,VDDDD,"31,551",Jamie Vardy-7,Mads Hermansen,
Southampton,27,2,3,22,19,65,-46,9,0.33,25.3,63.3,-38.1,-1.41,DVDDD,"31,098",Joe Aribo-3,Aaron Ramsdale,
