,stats_players_used,stats_avg_age,stats_possession,stats_games,stats_games_starts,stats_minutes,stats_minutes_90s,stats_goals,stats_assists,stats_goals_assists,stats_goals_pens,stats_pens_made,stats_pens_att,stats_cards_yellow,stats_cards_red,stats_xg,stats_npxg,stats_xg_assist,stats_npxg_xg_assist,stats_progressive_carries,stats_progressive_passes,stats_goals_per90,stats_assists_per90,stats_goals_assists_per90,stats_goals_pens_per90,stats_goals_assists_pens_per90,stats_xg_per90,stats_xg_assist_per90,stats_xg_xg_assist_per90,stats_npxg_per90,stats_npxg_xg_assist_per90,full_players_used,full_gk_games,full_gk_games_starts,full_gk_minutes,full_minutes_90s,full_gk_goals_against,full_gk_goals_against_per90,full_gk_shots_on_target_against,full_gk_saves,full_gk_save_pct,full_gk_wins,full_gk_ties,full_gk_losses,full_gk_clean_sheets,full_gk_clean_sheets_pct,full_gk_pens_att,full_gk_pens_allowed,full_gk_pens_saved,full_gk_pens_missed,full_gk_pens_save_pct
Alavés,28,27.2,46.0,26,286,"2,340",26.0,29,15,44,23,6,7,69,2,29.7,24.2,17.5,41.7,321,806,1.12,0.58,1.69,0.88,1.46,1.14,0.67,1.82,0.93,1.60,2,26,26,"2,340",26.0,40,1.54,99,60,69.7,5,8,13,3,11.5,10,10,0,0,0.0
Athletic Club,30,27.6,49.1,26,286,"2,340",26.0,44,34,78,42,2,4,47,3,40.6,37.4,28.2,65.6,498,1136,1.69,1.31,3.00,1.62,2.92,1.56,1.09,2.65,1.44,2.52,3,26,26,"2,337",26.0,23,0.89,78,55,73.1,13,9,4,7,26.9,3,2,1,0,33.3
Atlético Madrid,24,29.1,51.6,26,286,"2,340",26.0,43,35,78,41,2,3,61,2,43.0,40.6,32.7,73.4,504,1057,1.65,1.35,3.00,1.58,2.92,1.65,1.26,2.91,1.56,2.82,2,26,26,"2,340",26.0,16,0.62,77,63,83.1,16,8,2,13,50.0,3,3,0,0,0.0
Barcelona,27,25.2,66.9,26,286,"2,340",26.0,70,50,120,66,4,5,45,3,63.6,59.7,48.9,108.6,584,1452,2.69,1.92,4.62,2.54,4.46,2.45,1.88,4.33,2.30,4.18,3,26,26,"2,340",26.0,25,0.96,79,54,72.2,18,3,5,8,30.8,3,3,0,0,0.0
Betis,35,27.9,51.2,26,286,"2,340",26.0,32,19,51,27,5,7,57,4,38.7,33.3,26.0,59.3,414,989,1.23,0.73,1.96,1.04,1.77,1.49,1.00,2.49,1.28,2.28,3,26,26,"2,340",26.0,33,1.27,89,57,67.4,10,8,8,6,23.1,4,4,0,0,0.0
Celta Vigo,30,27.6,53.4,26,286,"2,340",26.0,37,25,62,32,5,6,61,5,36.5,31.8,26.6,58.4,461,1107,1.42,0.96,2.38,1.23,2.19,1.40,1.02,2.43,1.22,2.24,2,26,26,"2,340",26.0,40,1.54,100,61,61.0,9,6,11,5,19.2,2,1,1,0,50.0
Espanyol,26,26.0,39.0,25,275,"2,340",26.0,23,17,40,21,2,2,64,0,20.3,18.7,14.3,33.0,320,646,0.88,0.65,1.54,0.81,1.46,0.78,0.55,1.33,0.72,1.27,1,25,25,"2,250",26.0,36,1.44,126,89,73.0,7,6,12,4,16.0,3,2,1,0,33.3
Getafe,30,28.2,42.7,26,286,"2,340",26.0,21,10,31,16,5,5,80,2,24.1,20.2,13.8,34.0,253,679,0.81,0.38,1.19,0.62,1.00,0.93,0.53,1.46,0.78,1.31,1,26,26,"2,340",26.0,21,0.81,78,56,78.2,7,9,10,8,30.8,5,4,1,0,20.0
Girona,29,27.9,56.9,26,286,"2,340",26.0,33,25,58,30,3,4,58,2,30.2,27.2,21.9,49.1,508,1186,1.27,0.96,2.23,1.15,2.12,1.16,0.84,2.01,1.05,1.89,2,26,26,"2,340",26.0,39,1.50,101,59,63.4,9,5,12,6,23.1,5,2,3,0,60.0
Las Palmas,30,27.8,50.7,26,286,"2,340",26.0,28,21,49,27,1,2,76,3,24.8,23.2,18.6,41.8,337,840,1.08,0.81,1.88,1.04,1.85,0.95,0.71,1.67,0.89,1.61,2,26,26,"2,340",26.0,44,1.69,127,82,68.5,6,6,14,3,11.5,8,4,3,1,42.9
