
﻿,stats_players_used,stats_avg_age,stats_possession,stats_games,stats_games_starts,stats_minutes,stats_minutes_90s,stats_goals,stats_assists,stats_goals_assists,stats_goals_pens,stats_pens_made,stats_pens_att,stats_cards_yellow,stats_cards_red,stats_xg,stats_npxg,stats_xg_assist,stats_npxg_xg_assist,stats_progressive_carries,stats_progressive_passes,stats_goals_per90,stats_assists_per90,stats_goals_assists_per90,stats_goals_pens_per90,stats_goals_assists_pens_per90,stats_xg_per90,stats_xg_assist_per90,stats_xg_xg_assist_per90,stats_npxg_per90,stats_npxg_xg_assist_per90,full_players_used,full_gk_games,full_gk_games_starts,full_gk_minutes,full_minutes_90s,full_gk_goals_against,full_gk_goals_against_per90,full_gk_shots_on_target_against,full_gk_saves,full_gk_save_pct,full_gk_wins,full_gk_ties,full_gk_losses,full_gk_clean_sheets,full_gk_clean_sheets_pct,full_gk_pens_att,full_gk_pens_allowed,full_gk_pens_saved,full_gk_pens_missed,full_gk_pens_save_pct
Arsenal,24,26.5,55.9,27,297,"2,430",27.0,49,38,87,47,2,2,56,5,42.2,40.7,32.4,73.1,579,1297,1.81,1.41,3.22,1.74,3.15,1.56,1.20,2.76,1.51,2.71,1,27,27,"2,430",27.0,23,0.85,87,64,75.9,15,9,3,10,37.0,2,2,0,0,0.0
Aston Villa,28,27.6,51.8,28,308,"2,520",28.0,39,30,69,37,2,3,56,2,39.9,37.5,29.4,66.9,540,988,1.39,1.07,2.46,1.32,2.39,1.42,1.05,2.47,1.34,2.39,2,28,28,"2,520",28.0,45,1.61,117,71,62.4,11,9,8,3,10.7,2,1,1,0,50.0
Bournemouth,28,25.8,46.9,27,297,"2,430",27.0,45,34,79,39,6,7,68,1,49.2,43.6,33.8,77.4,522,1067,1.67,1.26,2.93,1.44,2.70,1.82,1.25,3.07,1.62,2.87,3,27,27,"2,430",27.0,32,1.19,134,102,78.4,12,7,8,6,22.2,3,3,0,0,0.0
Brentford,27,26.5,48.0,27,297,"2,430",27.0,48,31,79,44,4,4,38,1,43.1,39.9,31.4,71.4,440,996,1.78,1.15,2.93,1.63,2.78,1.60,1.16,2.76,1.48,2.64,2,27,27,"2,430",27.0,43,1.59,156,115,73.1,11,5,11,5,18.5,1,1,0,0,0.0
Brighton,30,25.7,52.2,27,297,"2,430",27.0,43,29,72,41,2,2,57,1,40.1,38.5,28.4,66.9,581,1100,1.59,1.07,2.67,1.52,2.59,1.48,1.05,2.54,1.43,2.48,2,27,27,"2,430",27.0,39,1.44,102,65,67.6,11,10,6,7,25.9,6,6,0,0,0.0
Chelsea,29,24.2,58.2,27,297,"2,430",27.0,51,39,90,48,3,3,77,1,53.8,51.5,41.8,93.3,627,1118,1.89,1.44,3.33,1.78,3.22,1.99,1.55,3.54,1.91,3.46,2,27,27,"2,430",27.0,36,1.33,125,88,75.2,13,7,7,5,18.5,6,5,1,0,16.7
Crystal Palace,27,26.8,43.5,27,297,"2,430",27.0,33,26,59,31,2,2,54,1,40.9,39.3,31.2,70.6,354,862,1.22,0.96,2.19,1.15,2.11,1.52,1.16,2.67,1.46,2.61,1,27,27,"2,430",27.0,33,1.22,102,70,68.6,9,9,9,8,29.6,2,1,1,0,50.0
Everton,25,28.9,40.5,27,297,"2,430",27.0,27,17,44,26,1,1,58,2,29.4,28.6,22.2,50.8,347,736,1.00,0.63,1.63,0.96,1.59,1.09,0.82,1.91,1.06,1.88,1,27,27,"2,430",27.0,34,1.26,111,75,69.4,7,11,9,9,33.3,2,0,2,0,100.0
Fulham,26,28.6,52.7,27,297,"2,430",27.0,39,35,74,36,3,4,59,2,37.9,34.8,29.6,64.4,579,1135,1.44,1.30,2.74,1.33,2.63,1.41,1.10,2.50,1.29,2.38,1,27,27,"2,430",27.0,36,1.33,108,74,67.6,11,9,7,4,14.8,1,1,0,0,0.0
Ipswich Town,32,26.4,40.8,27,297,"2,430",27.0,25,17,42,23,2,2,71,3,25.3,23.7,17.0,40.7,373,679,0.93,0.63,1.56,0.85,1.48,0.94,0.63,1.57,0.88,1.51,3,27,27,"2,430",27.0,57,2.11,151,95,65.6,3,8,16,2,7.4,5,5,0,0,0.0
Leicester City,28,27.2,45.7,27,297,"2,430",27.0,25,20,45,23,2,2,62,0,24.5,23.1,19.5,42.6,442,789,0.93,0.74,1.67,0.85,1.59,0.91,0.72,1.63,0.86,1.58,3,27,27,"2,430",27.0,61,2.26,152,94,60.5,4,5,18,1,3.7,1,1,0,0,0.0
Liverpool,24,27.8,56.6,28,308,"2,520",28.0,66,50,116,59,7,7,54,2,61.1,55.6,45.1,100.7,596,1361,2.36,1.79,4.14,2.11,3.89,2.18,1.61,3.79,1.99,3.60,3,28,28,"2,520",28.0,26,0.93,92,65,71.7,20,7,1,12,42.9,1,0,1,0,100.0
Manchester City,27,27.6,60.4,27,297,"2,430",27.0,52,39,91,51,1,2,46,1,48.8,47.2,40.8,87.9,827,1396,1.93,1.44,3.37,1.89,3.33,1.81,1.51,3.32,1.75,3.26,2,27,27,"2,430",27.0,37,1.37,106,70,67.9,14,5,8,7,25.9,3,3,0,0,0.0
Manchester Utd,27,26.3,53.6,27,297,"2,430",27.0,31,20,51,28,3,3,64,3,36.4,34.1,27.7,61.8,461,1018,1.15,0.74,1.89,1.04,1.78,1.35,1.03,2.38,1.26,2.29,1,27,27,"2,430",27.0,39,1.44,110,71,67.3,9,6,12,7,25.9,4,3,1,0,25.0
Newcastle Utd,24,27.7,50.4,27,297,"2,430",27.0,45,34,79,42,3,4,51,1,44.9,41.7,33.5,75.2,515,1087,1.67,1.26,2.93,1.56,2.81,1.66,1.24,2.90,1.55,2.79,2,27,27,"2,430",27.0,38,1.41,122,85,68.9,13,5,9,8,29.6,0,0,0,0,
Nott'ham Forest,23,26.9,40.1,27,297,"2,430",27.0,43,30,73,40,3,3,60,2,34.3,32.0,24.6,56.5,453,778,1.59,1.11,2.70,1.48,2.59,1.27,0.91,2.18,1.18,2.09,1,27,27,"2,430",27.0,33,1.22,117,84,73.5,14,6,7,11,40.7,2,2,0,0,0.0
Southampton,34,26.0,50.9,27,297,"2,430",27.0,18,12,30,18,0,2,74,3,25.3,23.5,19.4,42.9,479,849,0.67,0.44,1.11,0.67,1.11,0.94,0.72,1.65,0.87,1.59,3,27,27,"2,430",27.0,65,2.41,186,121,67.2,2,3,22,2,7.4,4,4,0,0,0.0
